time_s,IC_1,IC_2,IC_3
0.0,0.5203695312886927,-0.3235652388232855,1.2511645186591842
2e-05,0.6408013384817485,-1.913556212867824,1.3501944583444612
4e-05,-0.027483504725321344,-1.2251844793830011,0.4453639717267491
6e-05,-0.7419132969019371,-0.5583968128657587,0.8017043134764391
8e-05,-0.9124888276947299,-1.3423559380140961,1.0239720953644402
0.0001,0.787173985271215,-2.0969156286169373,0.2447523117180097
0.00012,1.373721142407132,-0.8286893790664746,-0.9124593776182633
0.00014,-0.34272746244972313,1.6119254822802007,-0.6243437987031998
0.00016,-1.1153007984747862,2.3974469416421123,0.4492679300608741
0.00018,-0.13812085550120207,0.7605737127344487,1.2049503545123885
0.0002,1.185724472921783,-0.6061566428717917,-0.7886011050890905
0.00022,0.7826062397703645,-0.03755239655628275,-0.2819321499059098
0.00024,-0.8001286817937844,0.5999913057488778,-0.8342928365408546
0.00026,-0.7013068293656869,0.01647102493773453,-1.690926283871709
0.00028,0.22529082839001935,-0.5027688432968986,0.41959175527295434
0.0003,0.5070621141485916,0.4634267868153905,1.7171770330326135
0.00032,0.2207703074638315,1.1046626367529604,2.421682923972615
0.00034,-0.6513007665408507,0.3267838999637872,3.3730271802316913
0.00036,-1.0621690615036234,-0.6971610100054616,3.079066211220655
0.00038,-0.2692310870866655,-0.6277040530880367,1.8441032173183023
0.0004,0.626648408367028,-0.5528791817432498,0.1609063817602491
0.00042,0.2769241059536205,-0.6657427552688656,-0.3617098725074191
0.00044,-0.4885530357255341,-0.7224604034930278,1.3984532372524456
0.00046,-0.18335186412118046,-0.8675199263508823,1.4426577293522298
0.00048,0.2866760953936145,-0.5215998112563152,2.047688739074242
0.0005,0.5333624738615574,-0.05155644228094154,1.6327433025116178
0.00052,0.630322323187605,0.7365157173268262,0.9395131648116223
0.00054,0.0421560566114079,0.8611332734762045,1.6355842674998042
0.00056,0.5367090049037904,0.024276373252994317,-0.476362270053319
0.00058,1.2712961824233284,-0.058370676908807,-0.7140967829684256
0.0006,-0.6769747603614278,0.6309123464736859,-1.3025296580026156
0.00062,-2.1803692700155257,0.18997781641796233,-1.5128667605371293
0.00064,0.20518613966559116,-0.49066084874725396,-0.7797188863510225
0.00066,0.2076914959733698,0.1658379462519368,1.136908315797038
0.00068,-1.0217553893933098,0.7525588602727573,1.1706041672913934
0.0007,-0.14837826684256944,0.8423312318830873,-2.7376543971554077
0.00072,-1.3036697823594081,0.6820384154323466,1.1110796046793414
0.00074,-2.6125592855222437,-0.4570296959192099,-0.49967518533762306
0.00076,2.5507227544780795,-0.868275355394858,2.3290465003892247
0.00078,3.696748922706193,-1.1382749045503544,-1.2160015904522028
0.0008,-1.4934587487168656,-0.5887587492964765,0.6266700404269747
0.00082,-1.973967633073322,-0.24050853071336944,0.7189197581961997
0.00084,0.7880109586076729,0.013975441738936858,-0.10152470992329075
0.00086,0.9291625429087543,0.5005267827046265,2.101920221919296
0.00088,0.017679865300881534,0.4865802933806693,-1.5621001331780633
0.0009,-0.1427855242657554,0.8508448465792007,1.1471315722453084
0.00092,-1.3225581036981,0.3561041354740682,-0.6673790679543231
0.00094,-1.10984918599636,-0.12159157676796338,-0.36766096767079576
0.00096,2.231113435236031,-0.43978584124903064,0.2778584919438276
0.00098,2.5316844845060094,-0.15659314900056354,0.09268838214071541
0.001,-0.2973269913476051,0.3278832654349056,0.1827762935790145
0.00102,-0.9930280910339372,1.3233592922137525,1.0762809092791543
0.00104,0.23951521619355082,1.9646861849341402,1.1627125198739856
0.00106,0.9011534008834524,-0.5629731945667965,-1.0671958587156956
0.00108,0.1461220173938857,-3.0396409315281994,-0.4692362091235127
0.0011,-1.3094377300707556,0.09668173462945168,0.866164143700094
0.00112,-2.1230520785245877,2.3518920250386772,-0.29363527088258606
0.00114,-0.7844147702284343,-0.43361774232594263,0.6518058165188785
0.00116,1.6930708418636318,-1.741204557076284,1.7625349455888553
0.00118,0.8624620337452754,0.5479126280834024,0.39426705327094635
0.0012,-0.9301139706296568,1.4453820754934728,-0.40131303230439236
0.00122,0.28218949028418855,-0.11374253646336922,-0.11401408256504585
0.00124,1.0171208765211441,-1.1994681965305036,0.7648735457700755
0.00126,0.12276231859108014,-1.8399911319394517,0.26800195459445847
0.00128,-0.3042615740143927,-1.3131937904354205,-1.392892681798916
0.0013,-0.3330906463286688,0.47254993272835805,0.6719297212337854
0.00132,-0.8366285688833034,0.5286442514977522,0.06067342111183581
0.00134,-0.2542191457388876,0.6490256516551892,-1.0068047641580298
0.00136,0.10409809248426556,0.9667114849687312,0.8592936514657508
0.00138,-0.08921326973468414,0.5275610293782517,0.5902782624008427
0.0014,0.5919953233179723,0.37907706420765835,-0.27134059201247235
0.00142,0.6550231721145049,-0.5608322001587225,0.5698509857377301
0.00144,0.18846690619567838,-0.6794351632907463,-0.6888472908184398
0.00146,-0.0612702480932751,-0.4162809981315411,-0.23847278675948902
0.00148,0.44929191742631774,-1.7313196618515612,-0.13353993541937823
0.0015,-0.15330777302014537,-1.5016710345850357,0.20476592821616055
0.00152,-1.1434709679600426,1.047812416550017,3.2066592913714547
0.00154,-0.30647516162452637,1.2505046203900188,-0.8265985498666104
0.00156,0.2044489783154751,0.07242331909520316,-0.5693028696830971
0.00158,-0.17662190124871194,0.3740959853814882,0.6013685632841307
0.0016,-0.21860438008057503,0.7831765121732651,-0.4703028546083559
0.00162,-0.07706452640945369,-0.28761150066756236,-0.43293641212112294
0.00164,0.24376995540358692,-0.6547687962575367,-0.9366920020841294
0.00166,0.4684516376554278,0.03196540322638567,2.323065264416169
0.00168,0.1359949919553019,0.08651389572293343,-1.5234718587228178
0.0017,-0.42054356376125973,1.0039792135773058,-0.2671810517454971
0.00172,-0.2363612819977333,1.994677277099865,1.6344669324410752
0.00174,1.8378532491953758,1.438671442314691,-0.8947987216949489
0.00176,3.0824271586226373,0.5197785311784406,0.9426679209764308
0.00178,-1.3667584189839705,-0.02213973261264247,-0.7111164840209103
0.0018,-5.149396074067329,-0.22157245103453338,0.11618312554934984
0.00182,0.754333830657747,-0.376667679579588,0.08529238972173371
0.00184,3.856887984186794,-0.9464180195920622,-0.6128193378104276
0.00186,-0.36626624580707984,-1.3549070228447606,1.3673594150159725
0.00188,-3.1826984152174678,0.13854251105475482,2.255975171152407
0.0019,-3.395450649002543,1.6359313366169643,3.3542306340613792
0.00192,-4.269833283851796,0.6256406259693579,2.9499719771427815
0.00194,3.157563163112692,-0.4951660059181546,2.4064468869571325
0.00196,7.557576322288814,-0.6969729968791978,0.21424543108088998
0.00198,-1.0324004614050795,-0.35632014813313595,-0.5808776313380511
0.002,-6.077553278817607,-0.08415072206870519,0.15472755364923216
0.00202,-0.7283738047096014,-0.3568465609957103,1.6645776395630536
0.00204,4.869445606804244,-0.09648540815670548,0.7669364465708416
0.00206,3.425487098271603,1.3171724743689386,1.1518085931503403
0.00208,-1.726057425571896,1.1373499364713837,2.0572650036986
0.0021,-4.411276225781472,-0.4702538181329584,1.8323057666694467
0.00212,-1.2178688771883737,-0.07233372608738811,1.2742571512290568
0.00214,3.605758723091864,1.3754654980978427,0.2647537401937926
0.00216,3.6268547906521107,0.5785815219268596,0.926150962521972
0.00218,0.26516561121082366,-1.3599891819486336,1.0815858504560056
0.0022,-2.230714004598127,-1.4345927474274693,-0.14790418955906437
0.00222,-1.0662581363852959,-0.10124368291927367,1.1361552995306974
0.00224,1.9537053819032217,0.12003619580859859,0.6461773579701782
0.00226,1.5734735084396663,-0.4198827178498286,0.5857296583082969
0.00228,-1.134217774921617,-0.17926914142142625,0.6387022775137509
0.0023,-2.818749001293394,0.6343361720803725,1.9327589756262917
0.00232,-2.274820244749367,0.5652690205807958,1.1592658643591214
0.00234,-0.2795698792259747,-0.37109907065220027,-0.5912474365693725
0.00236,1.624084218750687,-0.6136361566776232,0.4909963796842326
0.00238,1.1608644748287738,-0.33875559956045564,1.3396207295336922
0.0024,0.054936203374965194,-0.013468751114687205,-2.0504885304212186
0.00242,-0.18810464477197658,0.9958995349962818,0.03573917684877
0.00244,0.7386968627557721,0.9040838385441454,0.19002715889456462
0.00246,1.5014200280051888,0.13693833710531852,1.9803088366146109
0.00248,-0.030687832269590414,0.33945409684374356,0.37163419197205266
0.0025,-1.6434569857689447,0.45881581940128136,0.11132055106998556
0.00252,-1.0125647022057471,-0.3903587877695079,1.8747666037038202
0.00254,0.2739714567857469,-1.0806790181269608,0.6157543554693584
0.00256,1.1173466357222377,-0.3384353984666296,0.4872205134392893
0.00258,0.7432987702014765,0.06447013043208225,0.4900454816294206
0.0026,-0.3176713353978316,-0.029376850637480217,1.6527103073602618
0.00262,-0.1336206731285682,0.07000973485014532,0.4580701443068506
0.00264,0.7910797951415995,0.6326431842633857,-0.18148291633741437
0.00266,0.7704736824825246,0.3448152562680908,0.14812964123277328
0.00268,-0.21866235932147157,-0.6482472582491795,-1.1608907785866904
0.0027,-1.3854497065234819,-0.27210393677126443,0.1161498914420852
0.00272,-1.2288102735790642,0.1360556173312546,-0.5387823423281018
0.00274,-0.01831044737110067,-0.2947298489757605,0.20401418944992122
0.00276,0.5824309476000613,-0.6833603483625009,1.7179068304127474
0.00278,-0.3636394751658809,-0.1302462567393378,0.897851904202231
0.0028,-0.5076184357435494,0.5761100390000046,-0.0330842011868466
