,IC_1,IC_2,IC_3
ch1,0.0025016676326584824,0.009113378293999354,0.9999553430004396
ch2,0.0009508533499046875,0.9980451316333111,0.062490088021654865
ch3,0.9998452435984135,0.014198309788362055,0.010387340987130025
