,IC_1,IC_2,IC_3
ch1,-0.0025016676326581606,0.009113378293999429,0.999955343000439
ch2,0.0009508533499048562,0.9980451316333108,-0.062490088021654906
ch3,0.9998452435984136,-0.01419830978836195,0.010387340987129871
