,IC_1,IC_2,IC_3
IC_1,1.0,1.0920408590839483e-17,-1.286749263189184e-16
IC_2,1.0920408590839483e-17,1.0,-3.3742544279324994e-17
IC_3,-1.286749263189184e-16,-3.3742544279324994e-17,0.9999999999999998
