time_s,ch1,ch2,ch3
0.0,1.2468580813681924,-0.40062329716191925,0.5378793527564047
2e-05,1.3310921290889863,-1.9935799248083843,0.6818963645179725
4e-05,0.4342472680617085,-1.2506463715783103,-0.005457555253146033
6e-05,0.7984356508545531,-0.6081092444604087,-0.7255426140609849
8e-05,1.0139757141401142,-1.4045875582836416,-0.8826520814372406
0.0001,0.22366214875972346,-2.1073625410688464,0.8193671484721964
0.00012,-0.923407383438148,-0.7687435262398835,1.375796512096436
0.00014,-0.6087684404810647,1.6474637955263935,-0.3720463124644087
0.00016,0.47388681993031734,2.363624968459888,-1.1445011937309995
0.00018,1.212173473483159,0.6836581048495403,-0.13638211140002574
0.0002,-0.7970563118569571,-0.5545644838672497,1.1859559056834603
0.00022,-0.28421960955682873,-0.01911687793566471,0.7800897816281328
0.00024,-0.8267859757584143,0.6501926294788164,-0.8171898033638
0.00026,-1.6889462289006587,0.1214381186213762,-0.7189963862536399
0.00028,0.4144274921274041,-0.5277921035706707,0.23675287361858163
0.0003,1.7200552317997118,0.3556964462164444,0.5182406693343728
0.00032,2.4310896934428845,0.9513819078153326,0.2302066458112373
0.00034,3.3774839943059236,0.11474502354723085,-0.6208029691434815
0.00036,3.07523241130778,-0.889219237574491,-1.020122865391465
0.00038,1.8389738874055381,-0.7419711459433048,-0.24112175631752997
0.0004,0.15429293298965782,-0.5612575789413945,0.636072769866565
0.00042,-0.3684536572776229,-0.6415747198311323,0.2825764682699897
0.00044,1.3930289288836877,-0.808902096684753,-0.4636935017672254
0.00046,1.4351459527440849,-0.9561501883159389,-0.15602079482205797
0.00048,2.0421265907321597,-0.6482678149052774,0.315307607306709
0.0005,1.6308662400953413,-0.1529787794185612,0.5509718083710928
0.00052,0.9446064983700491,0.6769650097753954,0.6295265420592209
0.00054,1.643253600054282,0.7572821506651334,0.04691226720560581
0.00056,-0.4774624249162974,0.05450716787992821,0.5313331249490616
0.00058,-0.7177772081197391,-0.012423782861519753,1.2645106393715881
0.0006,-1.2950281822063576,0.7104304851461195,-0.699357702831608
0.00062,-1.5056133015083428,0.2820724004008514,-2.198443870713381
0.00064,-0.784668951898017,-0.44078186760678784,0.204021734581862
0.00066,1.1378493137295176,0.09466573832479684,0.21711419019654954
0.00068,1.1799663375899145,0.6769650097753952,-1.020122865391464
0.0007,-2.7294844654516446,1.0116197634826365,-0.18875193385877653
0.00072,1.120507009787001,0.6100340590339473,-1.3016106611072553
0.00074,-0.49728220085060254,-0.4273956774584989,-2.6108562225760523
0.00076,2.3146485098288467,-1.0096949489090967,2.586848656455073
0.00078,-1.2355688544034433,-1.05654661442811,3.6997073837035517
0.0008,0.6250126114293888,-0.6281885296828432,-1.4783588119055429
0.00082,0.721634019109123,-0.28684068090145787,-1.9627796696489985
0.00084,-0.10336415415630036,0.021041692509204155,0.7866360094354768
0.00086,2.104063390526861,0.36908263636473415,0.9437454768117318
0.00088,-1.5576402133358913,0.5832616787373682,-0.005457555253145251
0.0009,1.155191617672034,0.7773614358875678,-0.14292833920736972
0.00092,-0.6607953523086143,0.39585501666131323,-1.3343418001439749
0.00094,-0.3659761852858351,-0.09943401882540281,-1.1117700546942795
0.00096,0.2682566446119089,-0.45416805775507724,2.239898582665842
0.00098,0.08492371721959253,-0.1596718744927055,2.534478833996322
0.001,0.18650006888290244,0.31553787577157566,-0.30003780658362517
0.00102,1.0907773458855443,1.2525711861518491,-1.0004841819694321
