Channel,SK_peak_value,CenterFreq_Hz,LowFreq_Hz,HighFreq_Hz,Bandwidth_Hz,FilteredKurtosis,FilteredRMS,EnvelopeDominantFreq_Hz,EnvelopeDominantAmplitude
ch1,13.992179058798957,97.65624999999999,0.0,341.79687499999994,341.79687499999994,3.4445713645998306,0.18639352678491297,1.667722891164404,1838.4063914621129
ch2,86.74822724410906,292.96874999999994,146.48437499999997,390.62499999999994,244.14062499999997,264.5705298549123,0.017906762077790326,1.667722891164404,85.90337347854307
ch3,11.213330962608751,15283.203124999998,15136.718749999998,15332.031249999998,195.3125,3.8643640393593115,0.08056666408385374,71.71208432006937,759.8941075919564
