time_s,signal_preprocessed,signal_bandpassed,envelope
0.0,-0.40062329716191925,0.1784574388742678,0.45402159180335244
2e-05,-1.9935799248083848,0.18985975659699963,0.3679333736420458
4e-05,-1.2506463715783105,0.20103185973775092,0.3773247089546376
6e-05,-0.6081092444604085,0.21196098344291536,0.35503392465583833
8e-05,-1.4045875582836413,0.22263475096262977,0.3622888168156717
0.0001,-2.107362541068847,0.23304119214454538,0.35168602732046794
0.00012,-0.768743526239884,0.24316876113206176,0.3576607730697108
0.00014,1.6474637955263935,0.2530063532343772,0.3516875124592703
0.00016,2.3636249684598885,0.2625433209368814,0.3567445840079809
0.00018,0.6836581048495405,0.27176948902187736,0.3531444559405502
0.0002,-0.55456448386725,0.2806751687716818,0.3574827230749325
0.00022,-0.01911687793566489,0.2892511712288828,0.35526821057377295
0.00024,0.6501926294788164,0.2974888194915945,0.3590124968963562
0.00026,0.12143811862137618,0.30537996002448,0.3576701518283093
0.00028,-0.5277921035706707,0.31291697296897103,0.36090564847969553
0.0003,0.35569644621644464,0.3200927814386191,0.36013725113212225
0.00032,0.951381907815333,0.32690085978798855,0.3629255763306034
0.00034,0.11474502354723137,0.33333524084596333,0.3625439026018017
0.00036,-0.8892192375744906,0.3393905221068056,0.36493159967657984
0.00038,-0.7419711459433047,0.34506187087480966,0.36481210659660307
0.0004,-0.5612575789413947,0.3503450283608668,0.366835556525811
0.00042,-0.6415747198311326,0.355236312731522,0.3668916064279172
0.00044,-0.8089020966847529,0.3597326211130847,0.3685800605928061
0.00046,-0.9561501883159388,0.3638314305551216,0.36874920636017217
0.00048,-0.6482678149052773,0.3675307979593201,0.370126756383083
0.0005,-0.15297877941856117,0.3708293589812863,0.3703626794567563
0.00052,0.6769650097753956,0.37372632591437344,0.3714495894183386
0.00054,0.7572821506651335,0.37622148456616744,0.3717171247946508
0.00056,0.054507167879928056,0.3783151901399375,0.37253076230567794
0.00058,-0.012423782861520075,0.3800083621352634,0.37280270264244003
0.0006,0.7104304851461197,0.38130247828415603,0.37335820743608433
0.00062,0.2820724004008517,0.3821995675411358,0.3736131793292335
0.00064,-0.4407818676067881,0.382702202147812,0.37392395435037756
0.00066,0.09466573832479694,0.38281348879448635,0.3741449655498452
0.00068,0.6769650097753956,0.3825370589031865,0.374223044597942
0.0007,1.0116197634826363,0.38187705805829136,0.3743964648327202
0.00072,0.6100340590339476,0.3808381346125698,0.3742527922580221
0.00074,-0.4273956774584985,0.37942542749812463,0.37436762221552755
0.00076,-1.0096949489090972,0.3776445532734614,0.37401226862920517
0.00078,-1.056546614428111,0.37550159243957293,0.3740596051515786
0.0008,-0.6281885296828429,0.3730030750593106,0.37350193572076223
0.00082,-0.2868406809014574,0.37015596571526,0.3734745735286686
0.00084,0.021041692509203992,0.366967647841906,0.37272338057885773
0.00086,0.36908263636473426,0.3634459074682438,0.3726155108431856
0.00088,0.5832616787373683,0.35959891640738184,0.3716791192116018
0.0009,0.7773614358875679,0.35543521493019636,0.3714860980066746
0.00092,0.39585501666131356,0.3509636939607675,0.3703724493012686
0.00094,-0.09943401882540265,0.34619357683212043,0.3700906172329858
0.00096,-0.45416805775507774,0.341134400641632,0.36880733753868694
0.00098,-0.15967187449270598,0.3357959972462103,0.3684338773439717
0.001,0.31553787577157577,0.3301884739378821,0.36698833178706214
0.00102,1.2525711861518496,0.3243221938406885,0.36652115445526534
0.00104,1.8884152181956069,0.31820775606989027,0.36492049123733
0.00106,-0.49432662819994666,0.3118559756946128,0.3643581438032572
0.00108,-3.0042372810042517,0.30527786354536035,0.36260932972518994
0.0011,0.04112097773163843,0.2984846059081827,0.36195091969455395
0.00112,2.3636249684598885,0.29148754414734185,0.360060768745281
0.00114,-0.4742473429775122,0.2842981542978623,0.3593059014094695
0.00116,-1.846331833177199,0.27692802666857413,0.3572810976804126
0.00118,0.523023823070065,0.26938884549555975,0.35642982353212976
0.0012,1.4667502285244836,0.26169236868534135,0.35427693948260514
0.00122,-0.10612711389954746,0.2538504076864564,0.3533297096243866
0.00124,-1.2439532765041657,0.2458748075272325,0.35105522052046695
0.00126,-1.8530249282513438,0.2377774270567539,0.3500128484505744
0.00128,-1.2238739912817314,0.22957011942516822,0.34762314364683433
0.0013,0.4293204920320376,0.2212647128383284,0.3464867721837279
0.00132,0.523023823070065,0.21287299162015363,0.3439881638081109
0.00134,0.7104304851461197,0.2044066776142492,0.3427592362095943
0.00136,0.9112233373704641,0.19587741195462385,0.34015796573149815
