Frequency_Hz,SK_raw,SK_smooth
0.0,23.526090276014774,7.549151044410818
48.82812499999999,7.855588154736193,10.533198538379157
97.65624999999999,6.364076791303123,13.992179058798957
146.48437499999997,14.920237469841698,13.165465256098026
195.31249999999997,17.29490260209899,13.068463683746916
244.14062499999997,19.392521262510122,13.024067258142127
292.96874999999994,7.370580292980643,10.73613909217088
341.79687499999994,6.14209466327917,8.047363565835443
390.62499999999994,3.4805966399854693,4.916968365360263
439.45312499999994,3.851024970421813,4.46926814993367
488.28124999999994,3.7405452601342164,4.3531284550325156
537.1093749999999,5.132079215847682,4.772304082453166
585.9374999999999,5.561396188773397,4.4475545912834695
634.7656249999999,5.57647477708872,3.7606581889039328
683.5937499999999,2.2272775145733306,2.791681055475338
732.4218749999999,0.3060632482365313,4.169601082731055
781.2499999999999,0.28719354870470903,6.691580988165567
830.0781249999999,12.450996325051984,9.22672270374675
878.9062499999999,18.186374304261278,11.918968665178017
927.7343749999999,14.90298609247925,13.562439546028227
976.5624999999999,13.767293055392862,13.767208263507628
1025.3906249999998,8.504547952955756,11.829873930069935
1074.2187499999998,13.474839912448992,9.58842592940625
1123.0468749999998,8.49970263707281,7.58917598457709
1171.8749999999998,3.6957460891608287,7.76019159163592
1220.7031249999998,3.7710433312470606,6.146576672368038
1269.5312499999998,9.359625988249904,5.324331529479713
1318.3593749999998,5.406765316109583,4.941348033770109
1367.1874999999998,4.388476922631188,4.7455099057035595
1416.0156249999998,1.780828610612808,3.1308147421308448
1464.8437499999998,2.7918526909143146,2.843355320147113
1513.6718749999998,1.2861501703863318,2.343211398836647
1562.4999999999998,3.9694682061909212,2.8741639571861786
1611.3281249999998,1.8877573160788588,2.3132079871489815
1660.1562499999998,4.4355914023604655,2.435678006025252
1708.9843749999998,-0.012927159271671762,2.8018306105048008
1757.8124999999998,1.8985002647676863,3.2409012195565605
1806.6406249999998,5.800231228588665,3.0737667386755687
1855.4687499999998,4.083110361337655,3.437617009422305
1904.2968749999998,3.599918997955509,3.472409638903728
1953.1249999999998,1.8063241944620092,3.0985948440857127
2001.9531249999998,2.072463412174802,4.67117945762631
2050.7812499999995,3.931157254498588,5.771565503969649
2099.6093749999995,11.946033429040641,6.2679678128707055
2148.4374999999995,9.101849229672204,6.310847176945672
2197.2656249999995,4.288335738967288,6.134300367472181
2246.0937499999995,2.286860232549639,5.237142632541794
2294.9218749999995,3.0484232071311315,3.58695608261646
2343.7499999999995,7.4602447543887,3.2757622018652564
2392.5781249999995,0.8509164800455395,3.0869366375963376
2441.4062499999995,2.7323663352112693,4.0456211750163895
2490.2343749999995,1.342732411205045,2.7690330093895255
2539.0624999999995,7.841845894231392,2.7029651762032265
2587.8906249999995,1.0773039262543804,2.1616532522384677
