time_s,source_1,source_2,source_3
0.0,0.9835361787166421,0.18608195623434878,0.07723994641720151
2e-05,0.9868661168793805,0.1967219218740205,0.14750409033558518
4e-05,0.2927937922215302,0.20795598578084915,-0.06650250994067082
6e-05,0.5685821273393027,0.07513100894830593,0.15472251456694494
8e-05,1.1189238279426867,-0.07583887725306124,-0.029109236549510916
0.0001,0.3648067756468947,-0.191126069743281,0.049981442856109705
0.00012,-0.7532950943546074,-0.21597083302287132,0.04585854393933026
0.00014,-0.6182550604807806,-0.08112089153266772,0.0906075115323834
0.00016,0.586024942534624,-0.07804950967197075,-0.03408861293233593
0.00018,0.9664671448932821,0.29002916123266653,-0.04432283264278928
0.0002,-1.0066305627353709,0.13409610688398968,0.0754781439944236
0.00022,-0.22035203452852184,-0.21001532490258312,0.14614774987427595
0.00024,-1.0518590376786445,-0.027874896968403656,0.2529479588886337
0.00026,-2.011695332824459,-0.09775702194516775,0.42050612586896796
0.00028,0.2963263046501839,-0.04165141596128417,0.15975260343850445
0.0003,1.6261298484044493,-0.13344118772981478,0.22736657112507724
0.00032,1.939058163578257,0.22506319511813344,0.2669683347464943
0.00034,2.954965954341804,0.050435181827815596,0.37208285813630443
0.00036,2.983736001769711,0.13575414500933816,-0.04425773547126804
0.00038,1.2531089845621715,0.2650879696697668,0.32077693317360106
0.0004,0.21768760963314948,0.034483254546834693,-0.09787793119032613
0.00042,-0.31214829793809185,0.15761325055888642,-0.21391860989841727
0.00044,1.3531462304892854,-0.19090154141590365,0.23078423981030652
0.00046,1.6979409335417868,-0.1190690746564012,-0.14372590614130015
0.00048,1.891677800687774,0.21547375851101114,-0.06502496846662562
0.0005,1.4927008026990751,0.09687670690605368,0.041288730490213206
0.00052,0.9657212205560977,0.23621968464399856,-0.2573344068300472
0.00054,1.6510423238686753,0.278015195858587,-0.2858039196729803
0.00056,-0.38283422769566067,0.013250915244720678,-0.10787911246535746
0.00058,-0.5167131961706577,-0.19002682434754006,-0.011037187601541485
0.0006,-1.507755840054173,0.04708279087379356,0.16564486697402156
0.00062,-1.3503480104976786,-0.1936662209957804,0.03840092998511647
0.00064,-0.7650066145367111,-0.04914398730653559,0.029481649945229744
0.00066,0.5187710332948331,0.1360813387139333,0.48299694172075147
0.00068,1.2752455114710404,0.0635549666798009,-0.15883414056092635
0.0007,-2.7571827536726117,0.05191686516697749,-0.024218576946010633
0.00072,0.7163619675555045,0.18881170014746682,0.2153333420840303
0.00074,-0.637426413335673,0.26096911678133067,-0.12082490429625947
0.00076,2.4263114844693776,0.08680285077297029,-0.19846582541350152
0.00078,-1.216490979743612,0.21982044798957473,-0.2388983226494069
0.0008,0.7703211584554082,0.01618740781044133,-0.1614959548364602
0.00082,0.8027978045216025,-0.07010234393427171,-0.011061441478207036
0.00084,-0.030685095686482755,0.06794096410188526,-0.14062002257170333
0.00086,2.189232705116472,0.12912758125043944,-0.2142968958400497
0.00088,-1.120463001051754,-0.1558787591489146,-0.28129845313522306
0.0009,1.4557329326146726,0.020865597894113387,-0.3214069128367518
0.00092,-0.41726553172142633,-0.10572120851599776,-0.1378086120711898
0.00094,-0.2171067918729342,-0.3137047486253838,0.1648353552124829
0.00096,0.4047796514552478,-0.09279872384229362,-0.04372428300104591
0.00098,-0.039880042731915304,-0.09802711896993539,0.22283087892144318
0.001,-0.12955019794857126,-0.01990888592496905,0.3359591527564431
0.00102,0.9311132679846577,0.14724884348846473,0.012415234412422416
0.00104,1.0746995339871563,0.08200630768665582,0.02326049591610262
0.00106,-1.3110785170782684,-0.0405495163536802,0.2770948584947286
