,source_1,source_2,source_3
source_1,1.0,-0.1306694534644012,-0.1071360937018263
source_2,-0.1306694534644012,0.9999999999999999,0.15501667752236203
source_3,-0.1071360937018263,0.15501667752236203,0.9999999999999999
