Frequency_Hz,Mode_1,Mode_2,Mode_3,Mode_4,Mode_5
0.0,0.38793797478274716,0.1138332498128396,0.19552420019110328,0.05125501833589485,0.06612423348556407
1.667722891164404,1.25090297427155,0.32277477081007616,0.1657641485359641,0.0426428383783098,0.0534663417467198
3.335445782328808,0.6407531834865384,0.17582031634082357,0.18258592100184595,0.04099857170779624,0.060096829233260346
5.003168673493212,0.9794147822990195,0.25867239729649316,0.16138858550645377,0.022192102211869517,0.050048311955550956
6.670891564657616,0.7332019434459194,0.19751256827091251,0.17617827127153604,0.0349781198561882,0.057027250805342294
8.33861445582202,1.1121840461998438,0.2910608193076702,0.15380799386500493,0.015804597151175128,0.04648586205288646
10.006337346986424,0.6702111260957151,0.18251989052608517,0.17936253372777303,0.03749610157138477,0.05851546810756977
11.674060238150828,0.6008784387433823,0.16471775328232605,0.18371225170073185,0.041247542750496746,0.06056646211723826
13.341783129315232,0.82256111344872,0.21874621669392713,0.17107427761119434,0.03057583629750884,0.05462191757706495
15.009506020479636,0.9284397830923853,0.2421311445007351,0.1675106126691839,0.02915162276451821,0.053043167690291236
16.67722891164404,1.1903839337979552,0.3040270385736754,0.1565695741084252,0.025716890743539843,0.048198088382139445
18.344951802808446,0.9228030795141897,0.2461044245051711,0.16598899402314712,0.02771255773759195,0.05234141210938724
20.012674693972848,0.8622252883088138,0.2244980317854977,0.17163184738497708,0.03228447348127413,0.05496598037447192
21.68039758513725,1.3289429358167848,0.340592227838947,0.14302903163938543,0.009495546587951934,0.04148227039536212
23.348120476301656,2.795340065276955,0.6921080294157366,0.09097274604469496,0.0736641218970017,0.027844656200826372
25.01584336746606,0.4954208651726831,0.13686563513638833,0.2231563716129119,0.07794473784687257,0.07953429419210364
26.683566258630464,0.043346451383983575,0.027705562007392066,0.21960419896465252,0.07189870240438702,0.07747591404443618
28.351289149794866,0.6294588468301235,0.1780084837213756,0.18462427092622694,0.043860092889464734,0.06118654039282695
30.01901204095927,0.8953814437422523,0.23318880328650152,0.16805917976237125,0.028199850618788675,0.053219656158280296
31.686734932123677,0.6767821118927937,0.1863582752795965,0.17943611880765512,0.038131245452674795,0.058619109016651856
33.35445782328808,0.780193863951181,0.20318215621983804,0.17543344092421345,0.03453219907974485,0.056694077874704825
35.02218071445248,0.442359645561808,0.132840455104155,0.19344666780082262,0.050243482443007144,0.06523863118275468
36.68990360561689,0.4902161322322988,0.14691891530829657,0.2147831898626975,0.07151724904587926,0.0756690871703493
38.35762649678129,0.8902967536970811,0.21410678299717206,0.184170528190797,0.04650502246544426,0.06117390266797662
40.025349387945695,0.855331219477514,0.23499736041974117,0.173374095079722,0.036924326636831144,0.056108074404986816
41.6930722791101,0.7846448523380132,0.18395043328327823,0.19167876955360985,0.05167633900493385,0.06461945467882657
43.3607951702745,0.6079782578185999,0.14762492078747405,0.19217479207431337,0.049491519403537125,0.06462347106503656
45.02851806143891,1.0100307081835227,0.2490380659380621,0.16953848696717458,0.03304263223425721,0.05414137776242887
46.69624095260331,1.7208976494599075,0.3916229679697917,0.21229258169355658,0.08840865939303753,0.07673665007387892
48.36396384376771,1.863810644103683,0.4845320173161349,0.21827257019876306,0.10393817072127767,0.08153487555629713
50.03168673493212,1.7442477108147731,0.4345716962053273,0.12219143900447496,0.015617654599104133,0.03185198342423373
51.699409626096525,0.7340667287673361,0.18835023316375532,0.17875127892315737,0.03715284857680469,0.05824499198093173
53.36713251726093,0.7854498494369444,0.1894892400773112,0.18268754438503426,0.04210917918954248,0.06020223355878957
55.03485540842533,0.9932015874037473,0.2330991259994862,0.17928659461498891,0.0429647818604737,0.05888843118190056
56.70257829958973,0.853994207461034,0.1996505955697773,0.1840715025748756,0.044704956774985906,0.06096363621836408
58.37030119075414,1.1356100193576935,0.2588790692933099,0.18340600815836583,0.050478027980255136,0.06120718176382952
60.03802408191854,3.019898556844282,0.7016525161317864,0.1967716937242237,0.11831658827034479,0.07609328064689531
61.705746973082945,0.638188249941629,0.11335057986707546,0.24498571715233908,0.09360151165447378,0.08935321363090619
63.373469864247355,1.8704897973469097,0.40328159767483374,0.2771668938133244,0.1302494390846817,0.1057108869967406
65.04119275541176,1.783891557085636,0.3906320974797841,0.222152400914545,0.09453809926375756,0.08110061829163147
66.70891564657616,2.174834961675993,0.4771003364917547,0.2552199021531403,0.12307163007576563,0.09697577605379765
68.37663853774056,3.564214129064955,0.8052279854198163,0.33159059059922275,0.194240168568743,0.13430050686196593
70.04436142890496,6.115079633007264,1.4127706023966007,0.47625316446580246,0.32048180932436326,0.20326384777378617
71.71208432006937,32.03165883222502,7.599514185879812,1.910197192708959,1.5487458113564987,0.8786595580606554
73.37980721123378,12.087181021283559,2.9301236379038675,0.5394760726263207,0.5287406254620733,0.2678295141275622
75.04753010239818,7.475478597565939,1.8154974643326767,0.21825338700388974,0.2894762509160475,0.12495058918712773
76.71525299356259,6.726906875674535,1.6332930070870164,0.5239548288786652,0.3652473293942883,0.2270873936493541
78.38297588472699,2.704825711152783,0.6960134111607141,0.23619099418524414,0.13844222870225523,0.09364671369171673
80.05069877589139,2.492417365605178,0.6456602552125091,0.18715269255053274,0.10778913653042357,0.07146263406769895
81.7184216670558,2.0404345512830844,0.5342374781346719,0.15492649834140115,0.07265103277465576,0.0535326989981318
83.3861445582202,1.6708589835165661,0.4515438048567727,0.18993804343329887,0.08226295186565384,0.06808941494597555
85.0538674493846,1.2251578168926278,0.32155760326163496,0.15094054607010668,0.02127168903598725,0.04568404289501335
86.721590340549,1.5055479669494394,0.4083765837715099,0.16609000071968624,0.05853992081292449,0.055701977957969155
