Channel,ReconstructionRMSE,ReconstructionSNR_dB,DominantModeByEnergy
ch1,0.5106378879799848,5.837739296699567,1
ch2,0.23590809908336455,12.545142977384794,2
ch3,0.23720287780690888,12.497600926047665,3
