Channel,Mode,RMS,Kurtosis,Skewness,CrestFactor,DominantFreq_Hz,Energy
ch1,1,0.360640773413966,2.9506648402585367,0.019058810309013775,4.16550067159689,2741.7364330742803,3899.3818498771834
ch1,2,0.17214572949058188,3.966041331621568,0.13608195282791577,6.907661858892357,3353.7907341316163,888.4615165638827
ch1,3,0.20093537878614137,2.9399950537573303,-0.00038078888730324093,4.108858619496722,10695.106901037323,1210.4836679353928
ch1,4,0.2832738669960744,3.0763043290399716,-0.0024438482894248072,4.420714831247405,14502.518261565658,2405.797874096554
ch1,5,0.3350967699497681,2.9469986475403442,-0.00046702971358442277,4.011095929105879,20969.947633501215,3366.56184986365
ch2,1,0.26100040279919684,4.2961272415069605,0.008465222310480728,5.461913225620012,2741.7364330742803,2042.3420048453245
ch2,2,0.47950772054099067,4.670399686657481,-0.0007390042038574968,4.363210302652429,5360.0613722023945,6893.460996325393
ch2,3,0.45407418113348774,12.27698086418614,-0.001717172078231651,6.557364349231347,11430.572696040825,6181.583375283954
ch2,4,0.4091960702076609,11.140724652834923,-0.0013278259424293769,6.453068114078293,11929.221840498982,5020.061329148195
ch2,5,0.11346157113157432,10.196136152780714,0.13782624531319182,7.802956284179879,16573.830092391847,385.96124667500965
ch3,1,0.1782130545715307,7.744103648157462,-0.06245285269053247,5.709131131805785,2568.2932523931822,952.1933466278866
ch3,2,0.2027814167291185,7.2129800339712205,0.029157531206776784,5.339476698183322,4848.070444614922,1232.82780336361
ch3,3,0.6523873136107157,9.799672552977757,0.0014204545193296223,6.592701401325924,10129.74884093259,12760.189633873943
ch3,4,0.29800807370313526,6.147095818030717,0.0033940134920126246,6.230506572468749,11033.654647943697,2662.5769923397465
ch3,5,0.2788132776623339,8.51060031470355,-0.002155591243589239,6.5880065552324245,14906.107201227444,2330.6283139921948
